"year","p90","p95","p99","p90cap","p95cap","p99cap"
1917,"40.29","30.33","17.6","40.51","30.64","17.74"
1918,"39.9","29.3","15.88","40.11","29.49","15.96"
1919,"39.48","29.31","15.87","40.32","30.17","16.41"
1920,"38.1","27.47","14.46","39.01","28.32","14.83"
1921,"42.86","30.46","15.47","43.18","30.8","15.64"
1922,"42.95","31.05","16.29","43.72","31.94","17.06"
1923,"40.59","28.95","14.99","41.46","29.78","15.64"
1924,"43.26","30.93","16.32","44.41","32.11","17.42"
1925,"44.17","32.47","17.6","46.35","35.01","20.24"
1926,"44.07","32.75","18.01","45.71","34.61","19.91"
1927,"44.67","33.43","18.68","46.67","35.69","21.03"
1928,"46.09","34.77","19.6","49.29","38.56","23.94"
1929,"43.76","33.05","18.42","46.71","36.48","22.35"
1930,"43.07","31.18","16.42","43.87","32.06","17.22"
1931,"44.4","31.01","15.27","44.54","31.23","15.5"
1932,"46.3","32.59","15.48","46.37","32.67","15.56"
1933,"45.03","32.49","15.77","45.6","33.19","16.46"
1934,"45.16","32.99","15.87","45.78","33.71","16.4"
1935,"43.39","30.99","15.63","44.49","32.28","16.68"
1936,"44.77","32.65","17.64","46.59","34.64","19.29"
1937,"43.35","31.38","16.45","44.23","32.27","17.15"
1938,"43","30.18","14.73","44.07","31.34","15.75"
1939,"44.57","31.29","15.39","45.52","32.28","16.18"
1940,"44.43","31.29","15.73","45.29","32.22","16.48"
1941,"41.02","29.02","15.01","41.93","29.99","15.79"
1942,"35.49","25.11","12.91","36.13","25.8","13.43"
1943,"32.67","23.02","11.48","33.69","24.08","12.31"
1944,"31.55","21.76","10.54","32.51","22.77","11.28"
1945,"32.64","22.9","11.07","34.42","24.79","12.52"
1946,"34.62","24.66","11.76","36.7","26.77","13.28"
1947,"33.02","23.3","10.95","34.35","24.68","11.96"
1948,"33.72","23.7","11.27","35.01","25.06","12.24"
1949,"33.76","23.46","10.95","34.75","24.51","11.73"
1950,"33.87","23.87","11.36","35.56","25.53","12.82"
1951,"32.82","22.67","10.52","34.22","24.2","11.79"
1952,"32.07","21.85","9.76","33.21","23.07","10.79"
1953,"31.38","21.01","9.08","32.31","22.01","9.9"
1954,"32.12","21.56","9.39","33.64","23.3","10.77"
1955,"31.77","21.38","9.18","33.94","23.6","11.06"
1956,"31.81","21.35","9.09","33.46","23.13","10.67"
1957,"31.69","21.17","8.98","32.99","22.6","10.16"
1958,"32.11","21.26","8.83","33.56","22.93","10.21"
1959,"32.03","21.02","8.75","34","23.39","10.65"
1960,"31.66","20.51","8.36","33.48","22.57","10.03"
1961,"31.9","20.91","8.34","34.25","23.5","10.64"
1962,"32.04","20.94","8.27","33.7","22.81","9.95"
1963,"32.01","20.9","8.16","33.78","22.84","9.92"
1964,"31.64","20.62","8.02","34.42","23.5","10.48"
1965,"31.52","20.7","8.07","34.78","23.88","10.89"
1966,"31.98","20.99","8.37","33.67","22.92","10.18"
1967,"32.05","21.07","8.43","34.44","23.7","10.74"
1968,"31.98","20.98","8.35","34.85","24.15","11.21"
1969,"31.82","20.68","8.02","33.93","23.08","10.35"
1970,"31.51","20.39","7.8","32.63","21.66","9.03"
1971,"31.75","20.5","7.79","33.34","22.26","9.4"
1972,"31.62","20.37","7.75","33.59","22.52","9.64"
1973,"31.85","20.57","7.74","33.33","22.21","9.16"
1974,"32.36","21.04","8.12","33.31","22.12","9.12"
1975,"32.62","21.03","8.01","33.43","21.98","8.87"
1976,"32.42","20.85","7.89","33.41","21.97","8.86"
1977,"32.43","20.83","7.9","33.58","22.12","9.03"
1978,"32.44","20.86","7.95","33.49","22.04","8.95"
1979,"32.35","20.83","8.03","34.21","22.93","9.96"
1980,"32.87","21.17","8.18","34.63","23.17","10.02"
1981,"32.72","20.97","8.03","34.54","23.04","10.02"
1982,"33.22","21.4","8.39","35.33","23.83","10.8"
1983,"33.69","21.79","8.59","36.38","24.85","11.56"
1984,"33.95","22.1","8.89","36.74","25.29","11.99"
1985,"34.25","22.38","9.09","37.56","26.12","12.67"
1986,"34.57","22.59","9.13","40.63","29.49","15.92"
1987,"36.48","24.49","10.75","38.25","26.54","12.66"
1988,"38.63","26.95","13.17","40.63","29.29","15.49"
1989,"38.47","26.66","12.61","40.08","28.55","14.49"
1990,"38.84","27.05","12.98","39.98","28.41","14.33"
1991,"38.38","26.43","12.17","39.55","27.72","13.36"
1992,"39.82","27.88","13.48","40.82","29.06","14.67"
1993,"39.48","27.41","12.82","40.68","28.83","14.24"
1994,"39.6","27.5","12.85","40.78","28.89","14.23"
1995,"40.54","28.46","13.53","42.11","30.22","15.23"
1996,"41.16","29.16","14.11","43.48","31.76","16.69"
1997,"41.73","29.85","14.77","44.64","33.14","18.02"
1998,"42.12","30.36","15.29","45.39","34.1","19.09"
1999,"42.67","30.97","15.87","46.47","35.22","20.04"
2000,"43.11","31.51","16.49","47.61","36.61","21.52"
2001,"42.23","30.4","15.37","44.82","33.35","18.22"
2002,"42.36","30.36","14.99","43.82","32.07","16.87"
2003,"42.76","30.66","15.21","44.53","32.77","17.53"
2004,"43.64","31.71","16.34","46.4","34.95","19.75"
2005,"44.94","33.12","17.68","48.33","37.16","21.92"
2006,"45.5","33.59","18.06","49.32","38.08","22.82"
2007,"45.67","33.84","18.33","49.74","38.67","23.5"
2008,"45.96","33.78","17.89","48.23","36.52","20.95"
2009,"45.47","32.81","16.68","46.5","34.11","18.12"
2010,"46.26","33.67","17.42","47.9","35.72","19.77"